author,experience_days,number_of_fact_checks,unique_claim_percentage,fc_frequency_mean,fc_frequency_std,pairwise_diff_mean,pairwise_diff_std,number_of_organisations,word_count_mean,word_count_std
Anoushka Rajesh,0,1,0.0,,,,,1,564.0,
Binit Priyaranjan,0,1,1.0,,,,,1,1185.0,
Darab Mansoor Ali,0,1,1.0,,,,,1,243.0,
Fatima Farheen,0,2,1.0,0.0,,0.0,0.0,1,374.5,57.27564927611035
Philip Issa,0,1,1.0,,,,,1,834.0,
Prateek Lidhoo,174,2,0.5,174.0,,174.0,0.0,1,179.0,12.727922061357855
Prateek Waghre,699,2,1.0,699.0,,699.0,0.0,1,1067.5,65.76093065034893
Rahul Nair,0,1,1.0,,,,,1,230.0,
Rasmus Kleis Nielsen,0,1,1.0,,,,,1,1184.0,
Rosheena Zehra,0,1,1.0,,,,,1,370.0,
Saakhi Chadha,351,14,0.9285714285714286,26.692307692307693,56.697126052068135,80.68131868131869,93.47408163080618,1,438.2142857142857,169.25228259859648
Sameeksha Khare,0,1,1.0,,,,,1,430.0,
Surabhi Gupta,421,8,0.75,59.857142857142854,72.50615737399725,165.35714285714286,132.9785735387779,1,449.625,128.73775947361253
Suresh Mathew,452,2,1.0,452.0,,452.0,0.0,1,521.5,122.32947314527271
Syed Ata Hasnain,0,1,1.0,,,,,1,923.0,
Vaishali Sood,0,1,0.0,,,,,1,565.0,
Vishnu Gopinath,0,1,1.0,,,,,1,170.0,
Zijah Sherwani,27,2,1.0,27.0,,27.0,0.0,1,461.5,75.66042558696059
Juwon Ojo,0,1,1.0,,,,,1,689.0,
A. Kwabena Brakopowers,0,1,1.0,,,,,1,550.0,
A. Momar Lo,0,1,1.0,,,,,1,1204.0,
Aaishah Janif,127,12,0.8333333333333334,11.272727272727273,10.517517854426577,49.54545454545455,32.6070181226986,1,491.0,193.49183680220443
Aaron Bartilad,33,5,1.0,8.0,14.023789311975086,19.5,14.582523787054146,1,129.6,21.1730961363708
Aaron Marshall,600,22,1.0,28.571428571428573,13.429711197830832,220.54978354978354,148.5522511816027,1,914.0,219.5018168923611
Aaron Sharockman,4934,104,0.875,47.90291262135922,127.20899235718953,1279.2036967886484,1017.5910051882121,1,787.2019230769231,359.9016418980692
Aarón Torres,35,3,1.0,17.5,10.606601717798213,23.333333333333332,10.274023338281628,1,868.3333333333334,62.16376221990859
Aayushi Rana,500,163,0.9693251533742331,2.54320987654321,3.6014123617209552,167.37809588729834,118.89390841907382,1,270.93865030674846,68.62698361175849
Abbas Panjwani,1684,422,0.943127962085308,4.0,5.530865772234596,524.4800576375364,373.75067669654374,1,455.61137440758296,267.5441858212446
Abbinaya Kuzhanthaivel,311,69,0.9710144927536232,4.0588235294117645,3.980858502403034,108.88192668371697,78.43006749650918,1,455.536231884058,104.99027682013691
Abdoulie Darboe,0,1,1.0,,,,,1,424.0,
Abdul Rahoof K K,0,1,1.0,,,,,1,595.0,
Abdulqudus Ogundapo,86,2,1.0,86.0,,86.0,0.0,1,842.5,519.7234841721124
Abe Wong,77,7,0.14285714285714285,12.666666666666666,9.41629792788369,28.285714285714285,18.706105082216844,1,421.85714285714283,132.16205780710862
Abeen Bilal,233,11,1.0,23.3,73.68106948192323,42.36363636363637,89.86684364534487,1,150.0,124.11526900426071
Abeen Shayiq,22,2,0.5,22.0,,22.0,0.0,1,447.0,16.97056274847714
Abheet Raghav,298,30,0.9,9.793103448275861,8.973688962520326,107.71494252873563,74.41793525129317,1,247.13333333333333,98.14019997215571
Abhik Deb,138,17,0.9411764705882353,8.1875,17.193870031690558,43.625,50.43880064289909,1,619.1176470588235,326.1400930491645
Abhik Sengupta,0,1,1.0,,,,,1,519.0,
Abhilash Mallick,1398,392,0.8618925831202046,3.0895140664961636,9.94624874624788,304.55327783287225,221.55770556158333,1,529.344387755102,175.6511925715226
Abhishek Anand,878,673,0.8959881129271917,0.8110119047619048,1.3489514125497306,283.2254298450435,202.88327027679037,1,477.83506686478455,149.38952505800574
Abhishek Chakraborty,361,13,0.7692307692307693,29.666666666666668,47.23121720629141,159.97435897435898,128.67360560128577,1,400.84615384615387,94.50030524981226
Abhishek De,1120,3,1.0,560.0,636.3961030678928,746.6666666666666,452.4255617103093,1,434.0,92.82779756085996
Abhishek Mandadi,887,293,0.7610921501706485,2.5924657534246576,12.583262682670627,165.54712702791156,126.10931448866927,1,295.33788395904435,96.27325460916587
Abhishek Parashar,1677,158,0.9240506329113924,10.165605095541402,21.668790961076848,597.2680803031525,464.6912583897836,1,660.4556962025316,200.08277251944094
Abhishek Yadav,272,10,1.0,29.666666666666668,27.110883423451916,100.93333333333334,69.8167124214062,1,289.2,76.6040323858854
Abhro Banerjee,183,12,0.9166666666666666,16.181818181818183,19.984084576573338,61.666666666666664,47.48343677196048,1,445.0833333333333,107.98439140856787
Abi Jackson,215,7,1.0,35.333333333333336,16.76504299626657,88.9047619047619,52.08317959160983,1,803.8571428571429,211.82652381247303
Abinaya Kumar,0,1,1.0,,,,,1,250.0,
Abisola Olasupo,245,29,1.0,8.75,8.95513508800646,91.93103448275862,64.63432701729869,1,330.0344827586207,83.04150543924263
Abrar Bhat,69,19,0.8947368421052632,3.3333333333333335,7.522515223920631,15.362573099415204,17.073545842857754,1,258.3157894736842,46.15559750763227
Ada Jiang 姜琦,76,8,0.5,10.571428571428571,6.477065767180457,31.928571428571427,19.601254645391183,1,846.75,477.92729572603406
Ada May Sacil,47,4,1.0,15.333333333333334,23.180451534284945,23.333333333333332,20.458630344076205,1,187.75,44.10876708017731
Adam Aton,26,2,1.0,26.0,,26.0,0.0,1,723.0,29.698484809834994
Adam Daly,1149,7,0.8571428571428571,191.16666666666666,254.07984309399018,427.95238095238096,333.91993283113555,1,915.1428571428571,404.41415593894527
Adam Reckamp,36,2,1.0,36.0,,36.0,0.0,1,703.0,271.5290039756342
Adam Thorp,62,6,1.0,12.4,9.989994994993742,26.8,18.28369036418341,1,932.8333333333334,318.8337602366893
Adamu Alqali,0,1,1.0,,,,,1,841.0,
Adarsh T R,537,66,0.803030303030303,7.6923076923076925,12.50740165477411,156.06060606060606,131.20894228937152,1,442.06060606060606,129.00708135457933
Adedayo Adelowo,0,1,1.0,,,,,1,934.0,
Adedimeji Khadeejah,0,1,1.0,,,,,1,442.0,
Adejumo Kabir,0,1,1.0,,,,,1,249.0,
